1758770092	603
1758770094	602
1758770095	682
1758770096	683
1758770097	680
1758770098	681
1758770099	680
1758770100	682
1758770101	682
1758770102	681
1758770103	681
1758770105	683
1758770106	683
1758770107	683
1758770108	683
1758770109	683
1758770110	678
1758770111	680
1758770112	680
1758770113	680
1758770114	680
1758770116	680
1758770117	680
1758770118	680
1758770119	680
1758770120	680
1758770121	680
1758770122	680
1758770123	680
1758770124	680
1758770125	680
1758770127	680
1758770128	680
1758770129	680
1758770130	680
1758770131	680
1758770132	680
1758770133	680
1758770134	680
1758770135	680
1758770136	680
1758770138	680
1758770139	680
1758770140	680
1758770141	680
1758770142	680
1758770143	683
