1758771032	520
1758771033	515
1758771034	581
1758771035	584
1758771036	583
1758771037	597
1758771038	600
1758771040	599
1758771041	597
1758771042	596
1758771043	594
1758771044	593
1758771045	591
1758771046	589
1758771048	587
1758771049	586
1758771050	584
1758771051	585
1758771052	584
1758771053	582
1758771055	582
1758771056	580
1758771057	580
1758771058	578
1758771059	577
1758771060	575
1758771061	574
1758771062	573
1758771064	571
1758771065	570
1758771066	569
1758771067	569
1758771068	569
1758771069	569
1758771070	569
1758771071	570
1758771073	570
1758771074	570
1758771075	570
1758771076	570
1758771077	570
1758771078	570
1758771080	570
1758771081	570
1758771082	570
1758771083	570
1758771084	570
1758771085	570
1758771086	570
1758771087	570
1758771089	570
1758771090	570
1758771091	570
1758771092	570
1758771093	570
1758771094	570
1758771095	570
1758771096	575
1758771098	618
1758771099	617
1758771100	616
1758771101	614
1758771102	613
1758771103	611
1758771104	610
1758771106	608
1758771107	607
1758771108	605
1758771109	604
1758771110	602
1758771111	601
1758771112	599
1758771113	598
1758771114	594
1758771116	590
1758771117	579
1758771118	578
1758771119	575
1758771120	574
1758771121	575
1758771122	573
1758771123	572
1758771124	570
1758771126	569
1758771127	567
1758771128	566
1758771129	564
1758771130	563
1758771131	563
1758771132	563
