1758770959	466
1758770960	466
1758770961	494
1758770962	513
1758770963	525
1758770964	524
1758770966	524
1758770967	522
1758770968	521
1758770969	519
1758770970	518
1758770971	519
1758770972	518
1758770973	517
1758770974	516
1758770975	515
1758770977	513
1758770978	512
1758770979	510
1758770980	509
1758770981	507
1758770982	506
1758770983	504
1758770984	503
1758770985	501
1758770986	500
1758770988	500
1758770989	500
1758770990	500
1758770991	500
1758770992	500
1758770993	500
1758770994	500
1758770995	500
1758770996	500
1758770997	500
1758770999	500
1758771000	500
1758771001	500
1758771002	500
1758771003	499
1758771004	491
1758771005	491
1758771006	491
1758771007	491
1758771009	491
1758771010	491
1758771011	491
1758771012	491
1758771013	483
